,bytes_read,bytes_written
0,543,505
1,0,979
10,0,13
100,543,13
101,0,61
102,0,13
103,0,13
104,0,13
105,543,13
106,0,61
107,0,13
108,0,13
109,0,13
11,543,13
110,0,13
111,0,13
112,0,13
113,543,13
114,0,61
115,0,13
116,0,13
117,543,13
118,0,61
119,0,13
12,0,61
120,0,13
121,0,13
122,0,13
123,0,13
124,0,13
125,543,13
126,0,61
127,0,13
128,0,13
129,0,13
13,0,13
130,0,13
131,0,13
132,0,556
133,0,60
134,0,13
135,0,13
136,0,13
137,0,13
138,0,13
139,0,13
14,0,659
140,0,556
141,0,60
142,0,13
143,0,13
144,0,13
145,0,13
146,543,13
147,0,61
148,0,13
149,0,556
15,543,756
150,0,60
151,0,13
152,0,13
153,0,13
154,0,13
155,543,13
156,0,61
157,0,13
158,0,556
159,0,60
16,543,955
160,0,13
161,0,13
162,543,13
163,0,61
164,0,13
165,543,13
166,0,61
167,0,13
168,0,13
169,0,13
17,543,711
170,0,13
171,0,13
172,0,13
173,0,13
174,543,13
175,0,61
176,0,13
177,0,13
178,0,13
179,0,13
18,0,206
180,0,556
181,0,60
182,0,13
183,1629,6693
184,1629,2935
185,1086,2385
186,543,773
187,0,207
188,0,14
189,0,13
19,0,14
190,0,13
191,0,13
192,0,13
193,0,13
194,0,556
195,0,60
196,1629,2600
197,0,222
198,0,14
199,0,13
2,3258,4802
20,0,13
200,0,13
201,543,13
202,0,61
203,0,13
204,0,13
205,0,13
206,0,13
207,543,1357
208,543,959
209,543,714
21,0,13
210,0,207
211,0,14
212,0,13
213,0,13
214,0,1083
215,0,61
216,0,13
217,0,13
218,1086,2618
219,543,719
22,0,13
220,0,207
221,0,14
222,0,13
223,0,13
224,0,13
225,0,13
226,0,13
227,0,556
228,0,60
229,1629,2600
23,0,13
230,0,222
231,0,14
232,0,13
233,0,13
234,0,13
235,0,13
236,0,13
237,0,13
238,0,556
239,0,60
24,0,13
240,0,13
241,0,13
242,0,13
243,0,13
244,0,13
245,1629,4937
246,0,222
247,0,14
248,0,13
249,0,103
25,1629,2595
250,0,14
251,0,556
252,0,60
253,0,13
254,0,13
255,0,13
256,1629,2603
257,0,222
258,0,14
259,0,13
26,0,221
260,0,13
261,0,13
262,0,556
263,0,60
264,0,13
265,0,13
266,0,13
267,543,1357
268,1086,1458
269,0,220
27,0,14
270,0,105
271,0,14
272,0,13
273,0,13
274,0,556
275,0,60
276,0,13
277,0,13
278,0,13
279,0,13
28,0,13
280,0,13
281,0,13
282,0,13
283,543,556
284,0,64
285,0,13
286,0,13
287,0,556
288,0,60
289,0,13
29,0,13
290,0,13
291,0,13
292,0,13
293,0,13
294,0,13
295,0,13
296,543,13
297,0,61
298,0,13
299,0,13
3,0,1044
30,0,13
300,0,556
301,0,60
302,0,13
303,0,13
304,0,13
305,0,13
306,0,13
307,0,556
308,0,60
309,0,13
31,0,13
310,0,13
311,0,13
312,543,13
313,0,61
314,0,13
315,0,556
316,0,60
317,0,13
318,0,13
319,0,13
32,0,13
320,0,556
321,0,60
322,0,13
323,0,13
324,0,13
325,0,13
326,0,13
327,0,13
328,0,556
329,0,60
33,0,556
330,0,13
331,0,13
332,0,13
