,bytes_read,bytes_written
0,11203,9246
1,13970,19906
10,0,13
100,0,13
1000,66,342
1001,66,342
1002,66,342
1003,66,342
1004,66,342
1005,66,342
1006,66,342
1007,66,342
1008,66,342
1009,66,342
101,0,13
1010,66,342
1011,66,342
1012,66,342
1013,66,342
1014,66,342
1015,66,342
1016,66,342
1017,66,342
1018,66,342
1019,66,342
102,0,13
1020,66,342
1021,66,342
1022,66,342
1023,66,342
1024,66,342
1025,3838,5879
1026,66,651
1027,66,342
1028,66,342
1029,66,342
103,0,13
1030,66,342
1031,66,342
1032,66,342
1033,66,342
1034,66,342
1035,66,342
1036,66,342
1037,66,342
1038,66,342
1039,66,342
104,0,13
1040,66,342
1041,66,342
1042,66,342
1043,66,342
1044,66,342
1045,66,342
1046,66,342
1047,66,342
1048,2552,543
1049,66,344
105,0,13
1050,66,342
1051,66,342
1052,66,342
1053,66,342
1054,66,342
1055,66,342
1056,4953,8526
1057,66,745
1058,66,342
1059,66,342
106,0,13
1060,66,342
1061,66,342
1062,66,342
1063,66,342
1064,66,342
1065,66,342
1066,66,342
1067,3324,4558
1068,66,650
1069,66,342
107,0,13
1070,66,342
1071,66,342
1072,66,342
1073,66,342
1074,66,342
1075,66,342
1076,66,342
1077,66,342
1078,9753,11045
1079,66,806
108,0,13
1080,66,342
1081,66,342
1082,66,342
1083,66,342
1084,66,342
1085,66,342
1086,66,342
1087,1152,2235
1088,66,534
1089,6582,7819
109,0,13
1090,66,754
1091,66,342
1092,66,342
1093,66,342
1094,66,342
1095,66,342
1096,66,342
1097,66,342
1098,66,342
1099,66,342
11,0,13
110,0,13
1100,66,342
1101,66,342
1102,66,342
1103,66,342
1104,66,342
1105,66,342
1106,66,342
1107,66,342
1108,66,342
1109,66,342
111,0,13
1110,66,342
1111,66,342
1112,66,342
1113,66,342
1114,66,342
1115,66,342
1116,66,342
1117,66,342
1118,8211,8767
1119,5496,7822
112,0,13
1120,7668,9375
1121,2781,2377
1122,609,492
1123,609,933
1124,66,392
1125,66,342
1126,66,342
1127,66,342
1128,66,342
1129,66,342
113,0,13
1130,66,342
1131,66,342
1132,66,342
1133,66,342
1134,66,342
1135,66,342
