,bytes_read,bytes_written
0,1974,4691
1,14359,14086
10,0,13
100,0,13
1000,0,13
1001,0,13
1002,0,13
1003,0,13
1004,0,13
1005,0,13
1006,0,13
1007,0,13
1008,0,13
1009,0,13
101,0,13
1010,0,13
1011,0,13
1012,0,13
1013,0,13
1014,0,13
1015,0,13
1016,0,13
1017,0,13
1018,0,13
1019,543,13
102,0,13
1020,1086,1691
1021,0,117
1022,0,14
1023,0,13
1024,0,13
1025,11374,13155
1026,0,478
1027,0,14
1028,0,13
1029,0,13
103,0,13
1030,0,13
1031,0,13
1032,0,13
1033,0,13
1034,0,13
1035,0,13
1036,0,13
1037,0,13
1038,0,13
1039,0,13
104,0,13
1040,0,13
1041,0,13
1042,0,13
1043,0,13
1044,0,13
1045,0,13
1046,0,13
1047,0,13
1048,0,13
1049,0,13
105,0,13
1050,0,13
1051,0,13
1052,0,13
1053,0,13
1054,0,13
1055,0,13
1056,8029,11398
1057,0,417
1058,0,14
1059,0,13
106,0,13
1060,0,13
1061,0,13
1062,0,13
1063,0,13
1064,0,13
1065,0,13
1066,0,13
1067,9745,10748
1068,0,428
1069,0,14
107,0,13
1070,0,13
1071,0,13
1072,0,13
1073,0,13
1074,0,13
1075,0,13
1076,0,13
1077,0,13
1078,5973,6944
1079,0,425
108,0,13
1080,0,14
1081,0,13
1082,0,13
1083,0,13
1084,0,13
1085,0,13
1086,0,13
1087,2172,2993
1088,0,257
1089,4344,5316
109,0,13
1090,0,274
1091,0,14
1092,0,13
1093,0,13
1094,0,13
1095,0,13
1096,0,13
1097,0,13
1098,0,13
1099,0,13
11,0,13
110,0,13
1100,0,13
1101,0,13
1102,2552,541
1103,66,344
1104,66,342
1105,66,342
1106,66,342
1107,66,342
1108,2238,2514
1109,1695,2123
111,0,13
1110,66,445
1111,66,342
1112,66,342
1113,66,342
1114,66,342
1115,66,342
1116,1152,1428
1117,1152,1529
1118,13011,15341
1119,6582,8402
112,0,13
1120,7668,9436
1121,2238,1830
1122,1123,1665
1123,4410,4786
1124,66,594
1125,66,342
1126,66,342
1127,609,342
1128,609,1476
1129,66,440
113,0,13
1130,1152,1428
1131,1152,1529
1132,2238,2615
1133,66,494
1134,66,342
1135,1695,1971
1136,609,1034
1137,1152,1524
1138,609,986
1139,609,980
114,0,13
1140,882,775
1141,0,16
1142,2172,2185
1143,0,167
1144,0,14
1145,1086,1099
1146,1086,1202
1147,0,116
1148,0,14
1149,7573,9355
115,0,13
1150,0,426
1151,0,14
1152,2715,2728
1153,0,166
1154,0,14
1155,2172,2185
1156,0,167
1157,0,14
1158,1086,1099
1159,0,116
116,0,13
1160,1086,1100
1161,0,116
1162,0,14
1163,2172,2185
1164,543,710
1165,1086,1196
1166,1086,1202
1167,0,116
1168,1086,1100
1169,0,116
117,0,13
1170,0,14
1171,0,13
1172,1086,1099
1173,1086,1202
1174,543,116
1175,2172,2778
1176,1086,1254
1177,0,116
1178,543,557
1179,543,653
118,0,13
1180,7573,9448
1181,0,472
1182,0,14
1183,543,556
1184,1086,1196
1185,543,116
1186,1086,1692
1187,0,117
1188,0,14
1189,1629,1642
119,0,13
1190,543,707
1191,1086,1196
1192,0,116
1193,0,14
1194,1086,1099
1195,0,116
1196,0,14
1197,1086,1099
1198,0,116
1199,0,14
12,0,13
120,0,13
1200,0,13
1201,1086,1099
1202,1086,1202
