,bytes_read,bytes_written
0,6983,11753
1,4344,5939
10,0,13
100,0,13
1000,66,342
1001,66,342
1002,66,342
1003,609,342
1004,66,390
1005,66,342
1006,66,342
1007,66,342
1008,2781,3057
1009,66,447
101,0,13
1010,66,342
1011,66,342
1012,66,342
1013,66,342
1014,609,342
1015,66,390
1016,66,342
1017,66,342
1018,66,342
1019,1152,1428
102,0,13
1020,1695,2071
1021,66,445
1022,66,342
1023,66,342
1024,66,342
1025,4924,7479
1026,609,699
1027,66,390
1028,66,342
1029,66,342
103,0,13
1030,66,342
1031,66,342
1032,66,342
1033,66,342
1034,66,342
1035,609,885
1036,66,392
1037,66,342
1038,66,342
1039,609,342
104,0,13
1040,66,390
1041,66,342
1042,66,342
1043,66,342
1044,66,342
1045,66,342
1046,66,342
1047,66,342
1048,2552,1086
1049,66,392
105,0,13
1050,66,342
1051,66,342
1052,609,342
1053,66,390
1054,66,342
1055,66,342
1056,8124,11754
1057,66,750
1058,66,342
1059,609,342
106,0,13
1060,66,390
1061,66,342
1062,66,342
1063,66,885
1064,66,389
1065,66,342
1066,66,342
1067,6582,7276
1068,66,748
1069,66,342
107,0,13
1070,66,342
1071,66,342
1072,609,342
1073,66,390
1074,66,342
1075,66,342
1076,66,342
1077,609,342
1078,4410,5693
1079,66,652
108,0,13
1080,3223,3592
1081,66,533
1082,66,342
1083,66,342
1084,66,342
1085,66,342
1086,66,885
1087,609,1739
1088,66,485
1089,4410,5647
109,0,13
1090,66,601
1091,66,342
1092,66,885
1093,66,389
1094,66,342
1095,66,342
1096,609,342
1097,66,390
1098,66,342
1099,66,342
11,0,13
110,0,13
1100,66,885
1101,66,389
1102,66,885
1103,66,389
1104,66,342
1105,66,342
1106,66,342
1107,66,885
1108,1968,1813
1109,2715,2831
111,0,13
1110,0,120
1111,0,14
1112,0,13
1113,0,13
1114,543,13
1115,0,62
1116,1086,1099
1117,0,116
1118,8688,10593
1119,10288,11341
112,0,13
1120,2172,3871
1121,4800,4675
1122,6322,9517
1123,2715,2937
1124,0,120
1125,0,14
1126,0,13
1127,543,13
1128,0,62
1129,543,1099
113,0,13
1130,543,701
1131,1086,1196
1132,1086,1202
1133,0,116
1134,543,14
1135,543,605
1136,543,653
1137,1086,1196
1138,0,116
1139,0,14
114,0,13
1140,0,13
1141,0,13
1142,1086,1642
1143,0,163
1144,0,14
1145,1086,1099
1146,0,116
1147,0,557
1148,0,61
1149,5401,7179
115,0,13
1150,0,372
1151,0,14
1152,4800,3814
1153,0,261
1154,0,14
1155,1086,1099
1156,0,116
1157,0,557
1158,1086,1147
1159,0,116
116,0,13
1160,0,14
1161,0,13
1162,0,13
1163,3801,3814
1164,0,169
1165,0,14
1166,543,13
1167,0,62
1168,543,13
1169,0,62
117,0,13
1170,0,13
1171,0,556
1172,543,604
1173,543,1196
1174,2172,2844
1175,1629,1748
1176,0,164
1177,0,14
1178,0,13
1179,0,13
118,0,13
1180,7573,9352
1181,543,472
1182,0,63
1183,543,556
1184,0,110
1185,1086,1100
1186,1629,2287
1187,0,165
1188,0,14
1189,543,556
119,0,13
1190,543,653
1191,1086,1739
1192,0,163
1193,0,14
1194,543,13
1195,0,62
1196,0,13
1197,1629,1099
1198,0,163
1199,0,14
12,0,13
120,0,13
1200,0,13
1201,0,13
1202,0,556
1203,1086,1690
1204,0,117
1205,0,14
1206,0,13
1207,0,556
1208,0,61
1209,0,556
121,0,13
