time,bytes_read,bytes_written
0,543,503
1,9615,10751
10,0,13
100,0,13
1000,0,110
1001,543,14
1002,3801,4920
1003,9940,7616
1004,0,120
1005,0,14
1006,0,13
1007,0,13
1008,0,556
1009,0,61
101,0,13
1010,0,13
1011,0,13
1012,0,13
1013,0,13
1014,0,13
1015,1086,1099
1016,1086,1201
1017,543,659
1018,0,110
1019,0,14
102,0,13
1020,0,13
1021,0,13
1022,0,13
1023,0,13
1024,543,13
1025,8630,10484
1026,1086,1557
1027,1086,1201
1028,543,659
1029,0,110
103,0,13
1030,0,14
1031,0,13
1032,0,556
1033,0,61
1034,0,556
1035,0,61
1036,0,13
1037,0,13
1038,0,13
1039,0,13
104,0,13
1040,0,556
1041,0,61
1042,0,13
1043,0,13
1044,0,13
1045,0,13
1046,0,13
1047,0,13
1048,0,13
1049,543,13
105,0,13
1050,0,62
1051,0,13
1052,0,13
1053,0,13
1054,0,13
1055,0,556
1056,13372,16382
1057,0,470
1058,0,14
1059,0,13
106,0,13
1060,0,13
1061,543,13
1062,0,62
1063,0,13
1064,0,13
1065,0,13
1066,0,13
1067,9231,9664
1068,0,421
1069,0,14
107,0,13
1070,0,13
1071,0,13
1072,0,13
1073,543,13
1074,0,62
1075,0,13
1076,0,13
1077,0,13
1078,7059,8543
1079,0,919
108,0,13
1080,0,61
1081,0,13
1082,0,13
1083,0,13
1084,0,556
1085,0,61
1086,0,13
1087,1629,2448
1088,0,211
1089,7059,8030
109,0,13
1090,0,376
1091,0,14
1092,0,13
1093,0,556
1094,0,61
1095,0,13
1096,0,13
1097,0,13
1098,0,13
1099,0,556
11,0,13
110,0,13
1100,0,61
1101,0,13
1102,0,13
1103,543,13
1104,2546,590
1105,66,344
1106,66,885
1107,66,389
1108,66,342
1109,609,342
111,0,13
1110,66,390
1111,66,342
1112,66,342
1113,66,342
1114,66,342
1115,609,342
1116,66,390
1117,66,342
1118,11867,13579
1119,5496,7822
112,0,13
1120,8211,9975
1121,609,701
1122,3867,4191
1123,10578,8564
1124,66,499
1125,66,342
1126,66,342
1127,66,342
1128,66,885
1129,66,389
113,0,13
1130,66,342
1131,66,342
1132,66,342
