time,bytes_read,bytes_written
1396,6516,3320
1397,0,314
1398,0,14
1399,3258,13
14,0,167
140,0,129
1400,0,701
1401,3258,61
1402,1086,1788
1403,0,706
1404,543,178
1405,0,63
1406,0,13
1407,0,13
1408,0,13
1409,0,13
141,0,14
1410,0,556
1411,543,1147
1412,1629,1199
1413,1298,988
1414,66,936
1415,66,506
1416,66,885
1417,66,389
1418,0,15
1419,0,13
142,0,13
1420,0,13
1421,0,556
1422,543,61
1423,1086,1691
1424,543,659
1425,0,653
1426,0,721
1427,6487,3319
1428,0,267
1429,0,14
143,0,13
1430,1629,13
1431,0,157
1432,0,14
1433,543,1642
1434,1086,1246
1435,753,407
1436,0,16
1437,0,130
1438,0,14
1439,0,556
144,0,13
1440,0,61
1441,0,13
1442,0,556
1443,0,61
1444,0,13
1445,0,556
1446,0,61
1447,0,13
1448,0,130
1449,0,14
145,0,13
1450,0,13
1451,0,556
1452,543,61
1453,0,62
1454,0,13
1455,0,13
1456,0,556
1457,0,61
1458,7030,3242
1459,0,424
146,0,13
1460,0,14
1461,543,13
1462,543,62
1463,0,605
1464,0,61
1465,0,556
1466,0,604
1467,0,61
1468,0,13
1469,0,13
147,0,13
1470,0,130
1471,0,14
1472,0,13
1473,0,13
1474,0,1099
1475,0,109
1476,0,14
1477,0,13
1478,0,13
1479,0,13
148,0,13
1480,0,13
1481,0,130
1482,0,14
1483,0,1099
1484,29111,29307
1485,20025,17807
1486,2172,2447
1487,2172,1719
1488,1629,1839
1489,16775,12342
149,0,13
1490,2715,3240
1491,5973,7892
1492,4286,4127
1493,3258,3535
1494,0,167
1495,0,14
1496,0,556
1497,0,61
1498,0,13
1499,0,13
15,0,14
150,0,13
1500,0,556
1501,0,61
1502,3258,3388
1503,0,759
1504,0,61
1505,0,556
1506,0,61
1507,0,13
1508,0,13
1509,0,13
151,0,129
1510,0,13
1511,543,13
1512,0,62
1513,2715,3388
1514,543,263
1515,0,604
1516,543,59
1517,0,605
1518,0,61
1519,0,13
152,0,14
1520,3258,13
1521,0,204
1522,0,557
1523,4858,3862
1524,3258,3544
1525,0,171
1526,0,14
1527,0,13
1528,0,13
1529,0,13
153,0,13
1530,0,556
1531,0,61
1532,0,556
1533,0,61
1534,0,13
1535,0,130
1536,0,14
1537,0,13
1538,543,556
1539,0,110
154,0,13
1540,0,14
1541,0,13
1542,0,13
1543,543,13
1544,0,62
1545,0,556
1546,0,178
1547,0,14
1548,0,13
1549,0,13
155,0,13
1550,0,13
1551,6487,3785
1552,0,901
1553,0,61
1554,3258,1642
1555,0,707
1556,0,61
1557,0,130
1558,0,557
1559,0,61
156,0,13
1560,0,13
1561,0,13
1562,0,13
1563,0,556
1564,0,61
1565,0,556
1566,0,61
1567,0,13
1568,0,130
1569,543,14
157,0,13
1570,0,62
