time,bytes_read,bytes_written
1349,0,13
135,0,13
1350,0,13
1351,0,556
1352,0,61
1353,0,13
1354,0,13
1355,0,13
1356,0,13
1357,0,13
1358,0,13
1359,0,13
136,0,13
1360,543,13
1361,0,62
1362,0,13
1363,0,13
1364,6856,6869
1365,0,120
1366,8116,9898
1367,543,1556
1368,0,113
1369,4257,4329
137,0,13
1370,0,167
1371,0,14
1372,0,13
1373,0,13
1374,0,13
1375,0,13
1376,0,13
1377,0,13
1378,0,556
1379,0,61
138,0,13
1380,2715,2728
1381,0,120
1382,0,14
1383,543,13
1384,0,62
1385,0,13
1386,0,13
1387,0,13
1388,0,13
1389,0,13
139,0,13
1390,0,13
1391,1086,1099
1392,1629,1744
1393,0,118
1394,0,14
1395,0,13
1396,0,13
1397,7030,8817
1398,0,422
1399,0,14
14,4344,5313
140,0,13
1400,543,556
1401,0,110
1402,2114,1643
1403,1629,1791
1404,0,118
1405,0,14
1406,0,13
1407,0,556
1408,0,61
1409,0,13
141,0,13
1410,0,13
1411,543,13
1412,0,62
1413,2715,3242
1414,0,120
1415,0,14
1416,0,13
1417,0,13
1418,0,13
1419,543,13
142,0,13
1420,0,62
1421,0,13
1422,0,13
1423,0,13
1424,2715,2728
1425,0,120
1426,0,14
1427,0,13
1428,7030,9354
1429,0,473
143,0,13
1430,0,14
1431,0,13
1432,543,13
1433,0,62
1434,0,13
1435,0,13
1436,0,13
1437,0,13
1438,0,13
1439,0,556
144,0,13
1440,0,61
1441,0,13
1442,0,13
1443,0,13
1444,0,13
1445,0,13
1446,0,13
1447,0,556
1448,0,61
1449,0,13
145,0,13
1450,0,13
1451,0,13
1452,0,13
1453,543,13
1454,0,62
1455,0,13
1456,0,13
1457,0,13
1458,0,13
1459,5401,7185
146,0,13
1460,0,419
1461,543,14
1462,1600,1691
1463,1086,1248
1464,543,659
1465,0,110
1466,0,14
1467,0,13
1468,0,13
1469,0,556
147,0,13
1470,0,61
1471,0,13
1472,0,13
1473,0,13
1474,0,13
1475,0,13
1476,543,13
1477,0,62
1478,0,13
1479,0,556
148,0,13
1480,0,61
1481,0,13
1482,0,556
1483,0,61
1484,755,341
1485,14379,14656
1486,66,545
1487,609,342
1488,609,933
1489,66,437
149,0,13
1490,14553,19488
1491,9840,11167
1492,2781,4553
1493,4866,5504
1494,609,541
1495,66,933
1496,609,389
1497,66,390
1498,819,680
1499,0,16
15,0,322
150,0,13
1500,0,13
1501,0,13
1502,0,13
1503,5973,7487
1504,0,419
1505,0,14
1506,0,13
1507,0,13
1508,543,13
1509,0,62
151,0,13
1510,0,13
1511,0,13
1512,0,13
1513,0,13
1514,6516,6947
1515,0,421
1516,0,14
1517,0,13
1518,0,13
