time,bytes_read,bytes_written
567,0,13
568,0,13
569,0,13
57,0,60
570,0,556
571,0,60
572,0,13
573,0,13
574,0,13
575,0,13
576,0,13
577,543,13
578,0,61
579,0,13
58,1629,2600
580,0,13
581,0,13
582,0,13
583,0,13
584,543,13
585,0,61
586,1629,3531
587,0,222
588,0,14
589,0,13
59,543,439
590,543,13
591,0,61
592,0,13
593,0,13
594,0,13
595,543,13
596,0,61
597,0,13
598,0,556
599,0,60
6,0,13
60,0,62
600,0,13
601,0,13
602,0,13
603,0,13
604,543,13
605,0,61
606,0,13
607,0,13
608,0,13
609,0,13
61,0,13
610,0,13
611,0,13
612,0,13
613,0,556
614,0,60
615,0,13
616,0,13
617,1629,4939
618,0,222
619,0,14
62,543,13
620,0,13
621,0,13
622,0,13
623,0,13
624,0,13
625,543,13
626,0,61
627,0,13
628,1629,2603
629,0,222
63,0,61
630,0,14
631,0,13
632,0,13
633,0,13
634,543,13
635,0,61
636,0,13
637,0,13
638,0,13
639,1086,2103
64,543,13
640,543,717
641,0,207
642,0,14
643,0,13
644,0,13
645,543,13
646,0,61
647,543,13
648,0,1399
649,0,61
65,543,280
650,1086,3131
651,543,717
652,0,207
653,0,14
654,0,556
655,0,60
656,0,13
657,0,13
658,543,13
659,0,61
66,0,61
660,0,13
661,543,1357
662,1086,1458
663,0,220
664,0,14
665,0,13
666,0,13
667,0,13
668,0,556
669,0,60
67,0,13
670,0,13
671,0,13
672,543,1357
673,543,959
674,543,714
675,0,207
676,0,14
677,0,13
678,0,556
679,0,867
68,0,13
680,0,60
681,0,13
682,0,13
683,1629,2603
684,0,222
685,0,14
686,0,13
687,0,13
688,0,13
689,0,13
69,0,13
690,543,13
691,0,61
692,0,13
693,0,13
694,0,13
695,0,556
696,0,60
697,0,13
698,0,13
699,0,13
7,543,13
70,0,13
700,0,13
701,5796,3600
702,0,223
703,0,557
704,0,60
705,0,13
706,0,13
707,0,13
708,0,13
709,0,556
71,0,556
710,0,60
711,0,13
712,543,13
713,0,61
714,0,13
715,0,13
716,543,13
717,0,61
718,0,13
719,543,13
72,0,60
720,0,61
721,0,13
722,0,13
723,0,13
724,0,13
725,0,13
726,543,13
727,0,61
728,0,13
729,0,13
73,0,13
730,0,556
731,0,60
732,0,13
733,0,13
734,0,13
735,0,13
736,0,13
737,0,13
738,0,556
739,0,60
74,0,13
740,0,13
741,1086,3786
742,2172,3489
743,0,367
744,0,14
745,0,13
746,543,13
747,0,61
748,0,13
749,0,13
75,0,556
750,0,13
751,0,13
752,543,13
753,0,61
754,0,13
755,0,13
756,0,13
757,0,13
758,543,13
759,0,61
76,0,60
760,0,13
761,0,13
762,0,13
763,543,231
764,0,62
765,543,13
766,0,61
767,0,13
768,0,13
769,0,13
77,0,13
770,0,556
771,0,60
772,1629,3531
773,0,222
774,0,14
775,0,556
776,0,60
777,0,13
778,0,13
779,0,13
78,0,13
780,0,13
781,0,13
782,0,13
783,0,13
784,0,13
785,543,13
786,0,61
787,0,13
788,0,13
789,0,13
79,0,13
790,543,13
791,0,61
792,0,13
793,0,13
794,0,13
795,0,13
796,543,13
797,0,61
798,0,13
799,0,13
8,0,61
80,0,13
800,0,13
801,0,13
802,543,556
803,1629,3430
804,0,222
805,0,14
806,0,13
807,0,13
808,0,556
809,0,60
81,0,13
810,0,13
811,0,13
812,0,13
813,0,556
814,0,60
815,0,13
